rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
13;19/06/2022;19:01;Fluminense;Avaí;2;0;F. Diniz Silva;E. de Souza Barroca;Maracanã;19;9;3;4;49%;51%;479;486;87%;83%;8;15;0;3;0;0;1;4;6;3
13;20/06/2022;20:00;São Paulo;Palmeiras;1;2;R. Ceni;J. M. Barreto Martins;Morumbi;12;23;3;7;39%;61%;287;446;73%;82%;17;9;3;1;0;0;1;2;3;7
14;24/06/2022;21:29;Internacional;Coritiba;3;0;L. Venker de Menezes;G. Morínigo;Estádio José Pinheiro Borda;15;14;8;4;56%;44%;550;427;88%;88%;9;16;2;4;0;0;0;2;1;9
14;25/06/2022;16:30;Athletico-PR;Bragantino;4;2;L. Scolari;M. Nogueira Barbieri;Estádio Joaquim Américo Guimarães;10;23;6;6;30%;70%;247;560;68%;87%;14;11;4;1;0;0;0;3;5;10
14;25/06/2022;19:00;Flamengo;América-MG;3;0;D. Silvestre Júnior;V. Carmo Mancini;Maracanã;23;15;7;5;53%;47%;430;387;78%;77%;17;13;1;2;0;0;2;1;7;7
14;25/06/2022;19:00;Corinthians;Santos;0;0;V. de Oliveira Lopes Pereira;L. Ochandorena;Neo Química Arena;9;7;1;2;62%;38%;527;335;85%;73%;20;10;3;3;0;0;0;4;3;2
14;25/06/2022;20:59;Atlético-MG;Fortaleza;3;2;A. Mohamed Matijevich;G. Liendo;Mineirão;17;8;6;3;67%;33%;663;328;90%;77%;14;15;0;5;0;0;1;0;1;3
14;26/06/2022;16:01;Avaí;Palmeiras;2;2;E. de Souza Barroca;A. Moreira Ferreira;Ressacada;7;15;4;4;49%;51%;395;392;78%;74%;18;17;4;1;0;0;0;1;2;5
14;26/06/2022;16:03;Botafogo;Fluminense;0;1;V. Severino;F. Diniz Silva;Estádio Nilton Santos;9;11;1;3;20%;80%;182;730;66%;89%;18;14;3;2;0;0;1;1;1;6
14;26/06/2022;18:00;Goiás;Cuiabá;1;0;J. Ribeiro Ventura;B. Lazaroni;Estádio da Serrinha;15;13;5;2;46%;54%;311;356;71%;75%;14;16;3;3;0;1;2;0;4;6
14;26/06/2022;18:00;Ceará SC;Atlético-GO;1;1;M. dos Santos Gonçalves;J. de Amorim Campos;Arena Castelão;10;7;5;2;49%;51%;352;369;82%;81%;16;18;2;2;0;0;0;6;4;2
14;26/06/2022;18:01;São Paulo;Juventude;0;0;R. Ceni;U. Louzer Filho;Morumbi;29;4;9;2;59%;41%;527;400;87%;80%;15;7;3;4;0;0;0;1;16;1
15;02/07/2022;16:29;Juventude;Atlético-MG;1;2;U. Louzer Filho;A. Mohamed Matijevich;Alfredo Jaconi;17;8;3;4;56%;44%;574;475;90%;88%;11;11;2;1;0;0;1;0;6;6
15;02/07/2022;16:31;Fluminense;Corinthians;4;0;F. Diniz Silva;V. de Oliveira Lopes Pereira;Maracanã;15;3;6;2;58%;42%;519;374;90%;82%;11;12;0;3;0;0;4;0;6;4
15;02/07/2022;19:00;Santos;Flamengo;1;2;F. Bustos;D. Silvestre Júnior;Estádio Urbano Caldeira;16;12;7;6;46%;54%;418;489;82%;86%;15;13;4;2;0;0;2;0;7;3
15;02/07/2022;19:00;Ceará SC;Internacional;1;1;M. dos Santos Gonçalves;L. Venker de Menezes;Arena Castelão;9;12;4;5;61%;39%;391;257;84%;77%;24;20;4;3;0;1;3;0;3;2
15;02/07/2022;21:00;Palmeiras;Athletico-PR;0;2;A. Moreira Ferreira;L. Scolari;Allianz Parque;35;13;7;5;72%;28%;553;231;84%;60%;12;15;1;2;1;0;0;0;9;2
15;03/07/2022;11:00;Avaí;Cuiabá;1;2;E. de Souza Barroca;A. Cardoso de Oliveira;Ressacada;12;13;3;3;60%;40%;562;374;84%;76%;10;12;0;0;0;0;3;2;4;4
15;03/07/2022;16:00;Atlético-GO;São Paulo;1;2;J. de Amorim Campos;R. Ceni;Estádio Antônio Accioly;11;8;3;2;53%;47%;376;346;81%;78%;9;20;5;7;0;0;2;1;3;0
15;03/07/2022;18:00;América-MG;Goiás;1;0;V. Carmo Mancini;J. Ribeiro Ventura;Estádio Raimundo Sampaio;21;21;5;3;53%;47%;412;377;77%;78%;14;8;2;2;0;0;2;2;11;3
15;03/07/2022;18:46;Coritiba;Fortaleza;2;1;G. Morínigo;J. Vojvoda;Couto Pereira;11;22;4;7;37%;63%;288;479;75%;87%;11;22;2;3;1;0;1;1;2;6
15;04/07/2022;20:00;Bragantino;Botafogo;0;1;M. Nogueira Barbieri;L. Castro;Nabizão;18;9;6;1;65%;35%;434;248;77%;67%;11;19;1;4;1;0;6;0;9;4
16;09/07/2022;16:30;Bragantino;Avaí;4;0;M. Nogueira Barbieri;E. de Souza Barroca;Nabizão;37;8;13;2;46%;54%;355;434;76%;81%;5;6;1;3;0;0;1;0;19;7
16;09/07/2022;19:05;Fluminense;Ceará SC;2;1;F. Diniz Silva;M. dos Santos Gonçalves;Maracanã;18;17;6;6;60%;40%;501;344;87%;79%;16;17;2;3;0;0;0;2;9;10
16;09/07/2022;20:30;Goiás;Athletico-PR;2;1;J. Ribeiro Ventura;L. Scolari;Estádio da Serrinha;11;20;3;4;34%;66%;256;481;70%;86%;15;10;2;1;0;0;0;3;2;2
16;10/07/2022;11:01;Coritiba;Juventude;2;2;G. Morínigo;U. Louzer Filho;Couto Pereira;19;15;2;6;47%;53%;350;426;81%;81%;19;11;1;2;0;0;0;0;11;7
16;10/07/2022;16:01;Corinthians;Flamengo;1;0;V. de Oliveira Lopes Pereira;D. Silvestre Júnior;Neo Química Arena;7;12;2;4;49%;51%;433;457;81%;82%;7;12;2;4;0;0;3;1;6;3
16;10/07/2022;18:01;Santos;Atlético-GO;1;0;M. Fernandes;J. de Amorim Campos;Estádio Urbano Caldeira;19;16;5;4;48%;52%;349;370;79%;83%;13;18;5;4;0;0;0;0;9;10
16;10/07/2022;18:00;Fortaleza;Palmeiras;0;0;J. Vojvoda;A. Moreira Ferreira;Arena Castelão;12;12;6;5;39%;61%;295;454;74%;83%;9;15;0;1;0;0;1;2;2;6
16;10/07/2022;18:00;Atlético-MG;São Paulo;0;0;A. Mohamed Matijevich;R. Ceni;Mineirão;11;6;2;2;60%;40%;496;340;84%;78%;12;16;1;1;0;0;2;0;7;4
16;10/07/2022;19:02;Cuiabá;Botafogo;2;0;A. Cardoso de Oliveira;L. Castro;Arena Pantanal;14;6;6;2;46%;54%;404;473;81%;82%;7;11;1;1;0;2;2;2;5;2
