rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;15/04/2023;16:01;Palmeiras;Cuiabá;2;1;A. Moreira Ferreira;I. Abreu Vieira;Allianz Parque;17;12;5;4;52%;48%;455;427;84%;79%;23;12;2;3;0;1;3;2;4;4
1;15/04/2023;16:02;América-MG;Fluminense;0;3;V. Carmo Mancini;F. Diniz Silva;Estádio Raimundo Sampaio;17;15;2;8;45%;55%;333;440;79%;83%;25;9;3;2;0;0;2;3;11;1
1;15/04/2023;18:33;Botafogo;São Paulo;2;1;L. Ribeiro de Castro;R. Ceni;Estádio Nilton Santos;12;16;3;8;31%;69%;295;647;77%;88%;20;13;3;2;0;0;2;1;3;7
1;15/04/2023;18:31;Bragantino;Bahia;2;1;P. Faria Caixinha;R. Alves Paiva;Nabizão;13;9;7;3;57%;43%;435;343;77%;72%;20;13;3;1;0;0;2;3;4;7
1;15/04/2023;18:31;Athletico-PR;Goiás;2;0;P. Turra;E. Rodrigues de Ávila;Ligga Arena;11;16;3;2;43%;57%;368;478;78%;83%;19;18;2;3;0;0;1;1;3;8
1;15/04/2023;18:32;Fortaleza;Internacional;1;1;J. Vojvoda;L. Venker de Menezes;Arena Castelão;24;11;6;6;47%;53%;399;471;79%;80%;18;13;2;1;0;0;0;2;5;1
1;15/04/2023;21:00;Atlético-MG;Vasco da Gama;1;2;E. Coudet;M. Nogueira Barbieri;Mineirão;26;7;10;3;75%;25%;601;207;87%;65%;15;10;6;5;0;0;2;2;14;3
1;16/04/2023;16:03;Corinthians;Cruzeiro;2;1;F. Lázaro Rodrigues Alves;P. Marques da Costa Filipe;Neo Química Arena;12;8;7;2;41%;59%;405;576;77%;85%;14;12;4;2;0;0;4;3;7;4
1;16/04/2023;16:00;Flamengo;Coritiba;3;0;J. Sampaoli Moya;A. Cardoso de Oliveira;Maracanã;15;10;7;3;59%;41%;541;380;88%;85%;20;17;3;3;0;0;1;2;6;3
1;16/04/2023;18:30;Grêmio;Santos;1;0;Renato Gaúcho;O. Hellmann;Alfredo Jaconi;17;16;6;4;45%;55%;402;471;77%;81%;12;16;3;2;0;1;1;1;4;11
2;22/04/2023;16:00;Fluminense;Athletico-PR;2;0;F. Diniz Silva;P. Turra;Maracanã;14;10;4;1;63%;37%;559;341;87%;81%;13;20;3;3;0;0;3;1;10;6
2;22/04/2023;18:31;São Paulo;América-MG;3;0;D. Silvestre Júnior;V. Carmo Mancini;Morumbi;17;22;6;8;53%;47%;435;385;83%;81%;18;12;5;3;0;0;1;3;3;7
2;22/04/2023;18:30;Cuiabá;Bragantino;1;1;I. Abreu Vieira;P. Faria Caixinha;Arena Pantanal;14;7;3;2;33%;67%;245;508;68%;80%;17;21;3;3;0;0;3;2;4;5
2;22/04/2023;20:59;Cruzeiro;Grêmio;1;0;P. Marques da Costa Filipe;Renato Gaúcho;Estádio Raimundo Sampaio;21;11;6;7;49%;51%;488;511;80%;79%;21;8;4;2;1;0;1;3;11;5
2;23/04/2023;11:01;Internacional;Flamengo;2;1;L. Venker de Menezes;J. Sampaoli Moya;Estádio Beira-Rio;16;16;4;4;35%;65%;310;588;81%;87%;14;13;3;1;0;0;2;3;6;2
2;23/04/2023;16:00;Santos;Atlético-MG;0;0;O. Hellmann;E. Coudet;Estádio Urbano Caldeira;12;15;2;5;37%;63%;316;551;77%;84%;11;21;3;3;0;0;0;1;9;6
2;23/04/2023;16:00;Vasco da Gama;Palmeiras;2;2;C. Maldonado;V. Castanheira Penas;Maracanã;11;13;3;7;35%;65%;255;466;69%;80%;19;15;4;3;0;0;0;0;2;5
2;23/04/2023;18:31;Coritiba;Fortaleza;0;3;L. De Souza;J. Vojvoda;Couto Pereira;18;16;7;9;59%;41%;497;343;84%;78%;9;10;1;2;0;0;2;2;3;7
2;23/04/2023;19:00;Goiás;Corinthians;3;1;E. Rodrigues de Ávila;A. Stival;Estádio Hailé Pinheiro - Serrinha;18;10;7;2;52%;48%;392;392;81%;80%;21;23;5;2;0;0;4;1;5;8
2;24/04/2023;20:00;Bahia;Botafogo;1;2;R. Alves Paiva;L. Ribeiro de Castro;Itaipava Arena Fonte Nova;13;5;5;3;60%;40%;539;366;83%;78%;18;9;1;2;0;0;0;5;6;3
3;29/04/2023;16:31;Fortaleza;Fluminense;4;2;J. Vojvoda;F. Diniz Silva;Arena Castelão;20;12;18;3;30%;70%;256;598;76%;90%;8;15;0;3;0;0;2;1;8;5
3;29/04/2023;16:30;Coritiba;São Paulo;1;1;A. Zago;D. Silvestre Júnior;Couto Pereira;16;23;5;6;33%;67%;288;613;73%;87%;14;12;4;1;0;0;2;2;7;6
3;29/04/2023;18:30;Palmeiras;Corinthians;2;1;A. Moreira Ferreira;Danilo;Allianz Parque;21;10;6;2;55%;45%;508;437;84%;82%;20;15;3;3;0;0;0;1;12;3
3;29/04/2023;18:30;Santos;América-MG;3;2;O. Hellmann;V. Carmo Mancini;Estádio Urbano Caldeira;12;19;6;8;44%;56%;294;368;73%;76%;19;16;3;4;1;0;0;1;2;6
3;29/04/2023;18:30;Bragantino;Cruzeiro;0;3;P. Faria Caixinha;P. Marques da Costa Filipe;Nabizão;12;18;5;5;44%;56%;369;471;78%;81%;18;8;3;3;2;0;1;4;5;9
3;29/04/2023;21:00;Atlético-MG;Athletico-PR;2;1;E. Coudet;P. Turra;Estádio Raimundo Sampaio;16;8;6;3;59%;41%;574;398;86%;80%;18;11;3;3;0;1;2;3;1;5
3;30/04/2023;16:00;Flamengo;Botafogo;2;3;J. Sampaoli Moya;L. Ribeiro de Castro;Maracanã;24;12;13;6;74%;26%;642;225;88%;69%;14;12;4;2;0;1;3;1;7;2
3;30/04/2023;18:30;Cuiabá;Grêmio;1;2;I. Abreu Vieira;Renato Gaúcho;Arena Pantanal;15;12;4;6;51%;49%;410;432;83%;80%;16;12;3;5;1;0;2;2;7;5
3;30/04/2023;18:32;Internacional;Goiás;1;0;L. Venker de Menezes;E. Rodrigues de Ávila;Estádio Beira-Rio;18;15;8;1;58%;42%;463;329;86%;81%;16;10;4;0;0;1;1;4;8;11
3;01/05/2023;20:00;Vasco da Gama;Bahia;0;1;M. Nogueira Barbieri;R. Alves Paiva;Estádio São Januário;15;12;6;6;55%;45%;430;355;80%;75%;19;19;1;4;0;0;5;0;7;6
4;06/05/2023;16:00;Cruzeiro;Santos;2;1;P. Marques da Costa Filipe;O. Hellmann;Estádio Raimundo Sampaio;10;9;3;4;56%;44%;496;397;80%;77%;17;15;6;3;0;0;0;5;4;4
4;06/05/2023;21:01;Fluminense;Vasco da Gama;1;1;F. Diniz Silva;M. Nogueira Barbieri;Maracanã;23;8;9;1;80%;20%;733;195;89%;59%;12;19;3;3;0;0;1;1;9;1
4;07/05/2023;11:01;América-MG;Cuiabá;1;2;V. Carmo Mancini;I. Abreu Vieira;Estádio Raimundo Sampaio;15;9;4;5;45%;55%;404;476;78%;80%;19;12;3;4;1;0;5;2;4;6
4;07/05/2023;16:00;Bahia;Coritiba;3;1;R. Alves Paiva;A. Zago;Itaipava Arena Fonte Nova;15;10;5;4;51%;49%;423;406;79%;79%;28;24;2;7;0;0;1;2;3;5
4;07/05/2023;16:02;São Paulo;Internacional;2;0;D. Silvestre Júnior;L. Venker de Menezes;Morumbi;7;15;4;4;42%;58%;374;486;81%;87%;16;9;3;4;0;0;2;3;4;9
4;07/05/2023;16:00;Athletico-PR;Flamengo;2;1;P. Turra;J. Sampaoli Moya;Ligga Arena;10;14;4;4;39%;61%;349;532;77%;84%;15;11;2;2;0;0;2;0;2;8
4;07/05/2023;18:30;Grêmio;Bragantino;3;3;Renato Gaúcho;P. Faria Caixinha;Arena do Grêmio;11;21;3;7;42%;58%;353;470;69%;75%;9;20;5;2;0;0;3;2;4;7
4;07/05/2023;18:30;Botafogo;Atlético-MG;2;0;V. Severino;E. Coudet;Estádio Nilton Santos;22;9;7;1;39%;61%;341;536;81%;85%;14;8;1;3;0;0;0;4;5;9
4;07/05/2023;18:31;Goiás;Palmeiras;0;5;E. Rodrigues de Ávila;A. Moreira Ferreira;Estádio Hailé Pinheiro - Serrinha;15;17;4;7;43%;57%;396;524;84%;88%;13;29;2;6;1;0;1;1;4;6
4;08/05/2023;20:00;Corinthians;Fortaleza;1;1;V. Luxemburgo da Silva;J. Vojvoda;Neo Química Arena;21;16;8;2;48%;52%;488;511;85%;88%;6;9;2;2;0;0;3;2;5;5
5;10/05/2023;19:00;Internacional;Athletico-PR;0;2;L. Venker de Menezes;P. Turra;Estádio Beira-Rio;12;14;3;5;46%;54%;423;516;84%;85%;11;10;2;4;0;0;2;2;4;3
5;10/05/2023;18:59;Santos;Bahia;3;0;O. Hellmann;R. Alves Paiva;Estádio Urbano Caldeira;14;17;9;3;40%;60%;379;550;79%;86%;18;13;3;4;0;0;5;1;1;4
5;10/05/2023;19:00;Bragantino;América-MG;2;2;P. Faria Caixinha;V. Carmo Mancini;Nabizão;20;10;9;3;63%;37%;438;271;78%;61%;16;17;5;3;0;0;3;2;5;4
5;10/05/2023;19:59;Cuiabá;Atlético-MG;0;4;L. Iubel;E. Coudet;Arena Pantanal;7;8;1;7;46%;54%;465;551;86%;86%;12;17;1;2;0;0;0;1;6;1
