rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;14/04/2018;16:00;Cruzeiro;Grêmio;0;1;L. Venker de Menezes;Renato Gaúcho;Mineirão;12;6;2;2;40%;60%;425;649;81%;86%;20;15;3;1;0;1;0;3;7;4
1;14/04/2018;19:02;EC Vitória;Flamengo;2;2;V. Carmo Mancini;M. Nogueira Barbieri;Barradão;21;10;6;5;66%;34%;545;286;88%;72%;24;10;3;2;0;1;2;2;4;5
1;14/04/2018;21:03;Santos;Ceará SC;2;0;J. Ribeiro Ventura;M. Oliveira Chamusca;Estádio Municipal Paulo Machado de Carvalho;22;10;3;2;54%;46%;532;472;90%;85%;7;5;0;1;0;0;1;0;4;2
1;15/04/2018;11:00;América-MG;Sport Recife;3;0;E. Alves Moreira;N. Baptista Júnior;Estádio Raimundo Sampaio;14;15;4;5;38%;62%;363;580;76%;85%;11;12;1;3;0;0;4;3;2;6
1;15/04/2018;16:01;Vasco da Gama;Atlético-MG;2;1;J. Mannarino;T. Mendes Larghi;Estádio Vasco da Gama;19;11;7;6;67%;33%;596;321;88%;78%;11;18;4;3;0;0;3;3;9;3
1;15/04/2018;16:02;Internacional;Bahia;2;0;O. Hellmann;A. Ferreira;Estádio José Pinheiro Borda;13;12;4;2;45%;55%;412;491;75%;82%;16;18;2;0;0;0;1;1;4;3
1;15/04/2018;16:02;Corinthians;Fluminense;2;1;F. Carille;A. da Silva Braga;Neo Química Arena;11;13;2;3;65%;35%;515;293;84%;73%;14;15;0;0;0;0;0;0;6;2
1;15/04/2018;19:01;Athletico-PR;Chapecoense;5;1;F. Diniz Silva;G. Kleina;Estádio Joaquim Américo Guimarães;18;14;8;1;70%;30%;646;271;92%;77%;10;16;1;3;0;0;3;1;3;9
1;16/04/2018;19:59;São Paulo;Paraná;1;0;D. Aguirre Camblor;Ademir Fesan;Morumbi;10;7;5;1;52%;48%;480;446;86%;84%;20;15;4;2;0;0;3;2;7;7
1;16/04/2018;20:00;Botafogo;Palmeiras;1;1;A. Valentim do Carmo Neto;R. Machado Marques;Estádio Nilton Santos;13;7;3;4;46%;54%;409;498;80%;81%;7;23;1;4;0;0;0;0;8;3
2;21/04/2018;16:02;Bahia;Santos;1;0;A. Ferreira;J. Ribeiro Ventura;Itaipava Arena Fonte Nova;12;8;5;2;54%;46%;395;352;84%;80%;29;21;4;3;0;0;2;5;7;6
2;21/04/2018;19:00;Flamengo;América-MG;2;0;M. Nogueira Barbieri;E. Alves Moreira;Maracanã;14;18;5;5;49%;51%;345;345;82%;79%;15;17;1;1;0;0;1;0;6;12
2;22/04/2018;11:00;Paraná;Corinthians;0;4;Ademir Fesan;F. Carille;Vila Capanema;17;9;6;4;48%;52%;413;467;84%;82%;16;16;1;1;0;0;2;1;5;2
2;22/04/2018;16:00;Ceará SC;São Paulo;0;0;M. Oliveira Chamusca;D. Aguirre Camblor;Arena Castelão;14;11;3;3;51%;49%;497;476;85%;86%;12;7;1;1;0;0;1;1;7;7
2;22/04/2018;16:00;Atlético-MG;EC Vitória;2;1;T. Mendes Larghi;V. Carmo Mancini;Estádio Raimundo Sampaio;12;11;5;3;61%;39%;497;321;86%;78%;22;19;2;4;0;0;6;1;6;5
2;22/04/2018;16:00;Fluminense;Cruzeiro;1;0;A. da Silva Braga;L. Venker de Menezes;Maracanã;3;16;1;6;31%;69%;273;576;69%;85%;13;19;3;2;1;0;0;3;1;7
2;22/04/2018;16:01;Chapecoense;Vasco da Gama;1;1;G. Kleina;J. Mannarino;Arena Condá;10;17;2;4;36%;64%;306;559;75%;84%;13;8;1;2;0;0;2;2;3;3
2;22/04/2018;16:01;Palmeiras;Internacional;1;0;R. Machado Marques;O. Hellmann;Estádio Municipal Paulo Machado de Carvalho;13;7;2;2;44%;56%;390;483;79%;81%;14;15;2;2;0;0;0;2;8;9
2;22/04/2018;19:02;Grêmio;Athletico-PR;0;0;Renato Gaúcho;F. Diniz Silva;Arena do Grêmio;22;7;6;1;49%;51%;587;602;86%;85%;9;15;3;2;0;1;3;1;7;4
2;23/04/2018;20:00;Sport Recife;Botafogo;1;1;N. Baptista Júnior;A. Valentim do Carmo Neto;Adelmar da Costa Carvalho;20;10;11;1;51%;49%;391;375;77%;77%;14;15;1;3;0;0;2;0;10;7
3;28/04/2018;16:01;Botafogo;Grêmio;2;1;A. Valentim do Carmo Neto;Renato Gaúcho;Estádio Nilton Santos;19;9;6;1;56%;44%;464;388;85%;79%;14;12;1;1;0;0;0;2;10;4
3;29/04/2018;16:01;Bahia;Athletico-PR;0;0;A. Ferreira;F. Diniz Silva;Itaipava Arena Fonte Nova;23;9;7;2;34%;66%;334;640;83%;88%;22;12;2;2;0;0;2;1;8;2
3;29/04/2018;16:01;Ceará SC;Flamengo;0;3;M. Oliveira Chamusca;M. Nogueira Barbieri;Arena Castelão;8;18;1;7;48%;52%;401;431;88%;86%;18;12;1;2;0;0;1;3;2;5
3;29/04/2018;15:59;Palmeiras;Chapecoense;0;0;R. Machado Marques;G. Kleina;Allianz Parque;16;7;4;0;72%;28%;589;237;85%;71%;17;17;4;6;0;0;2;2;14;1
3;29/04/2018;16:01;Paraná;Sport Recife;1;2;Ademir Fesan;C. dos Santos Oliveira;Vila Capanema;28;10;12;3;70%;30%;575;261;85%;63%;14;15;1;1;0;0;2;3;8;1
