rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
17;31/07/2016;10:59;Fluminense;Ponte Preta;3;0;L. Culpi;E. Baptista;Estádio Giulite Coutinho;5;14;0;0;54%;46%;416;352;21;21;4;6;0;0;1;0;1;7
17;31/07/2016;16:02;Coritiba;Flamengo;0;2;E. Pacheco;J. Mannarino;Couto Pereira;12;6;0;0;51%;49%;338;369;9;13;1;2;0;0;0;0;8;2
17;31/07/2016;16:02;Internacional;Corinthians;0;1;Falcao;C. Borges dos Santos;Estádio José Pinheiro Borda;6;13;0;0;55%;45%;446;381;19;19;2;2;0;0;3;2;3;8
17;31/07/2016;16:02;Santos;Cruzeiro;2;0;D. Silvestre Júnior;L. Venker de Menezes;Estádio Urbano Caldeira;8;13;0;0;50%;50%;517;502;12;10;1;1;0;0;5;2;2;4
17;31/07/2016;18:30;Botafogo;Palmeiras;3;1;R. Gomes Raymundo;A. Stival;Luso-Brasileiro;12;13;0;0;46%;54%;361;400;20;23;4;3;0;0;1;4;3;4
17;31/07/2016;18:31;América-MG;Grêmio;0;0;E. Alves Moreira;R. Machado Marques;Estádio Raimundo Sampaio;10;7;0;0;47%;53%;399;476;15;8;2;2;0;1;1;4;8;1
18;03/08/2016;19:30;EC Vitória;Coritiba;3;1;V. Carmo Mancini;E. Pacheco;Estádio Alberto Oliveira;11;19;0;0;55%;45%;361;296;9;19;2;1;0;0;4;2;7;4
18;03/08/2016;19:31;Sport Recife;América-MG;1;1;O. de Oliveira Filho;E. Alves Moreira;Adelmar da Costa Carvalho;12;6;0;0;72%;28%;548;224;8;22;1;3;0;0;1;0;9;3
18;03/08/2016;21:47;Santos;Flamengo;0;0;D. Silvestre Júnior;J. Mannarino;Arena Pantanal;10;17;0;0;40%;60%;379;533;10;9;2;2;0;0;1;1;4;9
18;03/08/2016;21:47;Athletico-PR;Corinthians;2;0;P. Autuori de Mello;C. Borges dos Santos;Estádio Joaquim Américo Guimarães;10;12;7;3;44%;56%;436;536;11;12;3;0;0;0;3;4;1;6
18;04/08/2016;19:15;Ponte Preta;Botafogo;2;0;E. Baptista;R. Gomes Raymundo;Moisés Lucarelli;8;3;0;0;37%;63%;322;546;16;12;2;2;0;0;0;1;5;2
18;04/08/2016;19:29;Grêmio;Santa Cruz;0;0;R. Machado Marques;M. Mendes;Arena do Grêmio;15;13;0;0;62%;38%;584;368;18;18;1;3;0;0;2;0;5;4
