rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;29/05/2021;19:00;Cuiabá;Juventude;2;2;A. Valentim do Carmo Neto;E. de Barros;Arena Pantanal;14;7;2;3;60%;40%;490;342;85%;77%;14;14;1;3;0;0;0;1;9;1
1;29/05/2021;20:00;Bahia;Santos;3;0;L. Cavalcanti;F. Diniz Silva;Estádio de Pituaçu;5;12;3;4;34%;66%;304;563;75%;88%;18;9;3;3;0;0;2;2;4;11
1;29/05/2021;21:00;São Paulo;Fluminense;0;0;H. Crespo;R. Machado Marques;Morumbi;7;11;3;5;72%;28%;636;251;87%;70%;10;12;1;2;0;0;2;2;4;5
1;30/05/2021;11:01;Atlético-MG;Fortaleza;1;2;A. Stival;J. Vojvoda;Mineirão;13;18;4;5;55%;45%;398;329;81%;82%;16;19;2;4;0;0;2;3;5;4
1;30/05/2021;16:00;Flamengo;Palmeiras;1;0;R. Ceni;A. Moreira Ferreira;Maracanã;14;12;10;5;62%;38%;503;300;87%;81%;25;21;2;3;0;0;0;3;3;4
1;30/05/2021;15:59;Ceará SC;Grêmio;3;2;A. Ferreira;T. Retzalff Nunes;Arena Castelão;12;12;6;3;35%;65%;277;520;70%;83%;17;18;3;3;0;0;2;0;5;4
1;30/05/2021;18:15;Corinthians;Atlético-GO;0;1;S. Campos Junior;E. de Souza Barroca;Neo Química Arena;15;7;6;2;61%;39%;518;351;83%;72%;18;14;5;3;0;0;1;5;10;3
1;30/05/2021;18:14;Chapecoense;Bragantino;0;3;F. Paiva Endres;M. Nogueira Barbieri;Arena Condá;10;18;2;8;43%;57%;428;552;79%;87%;9;12;1;0;0;0;0;2;5;7
1;30/05/2021;18:16;Athletico-PR;América-MG;1;0;P. Autuori de Mello;L. Cirne Lima de Lorenzi;Estádio Joaquim Américo Guimarães;11;14;5;4;57%;43%;557;429;83%;81%;18;9;1;2;0;0;0;0;3;1
1;30/05/2021;20:30;Internacional;Sport Recife;2;2;M. Ramírez;U. Louzer Filho;Estádio José Pinheiro Borda;11;8;4;5;57%;43%;485;362;86%;82%;24;15;4;2;0;0;0;2;6;1
2;05/06/2021;19:00;Atlético-GO;São Paulo;2;0;E. de Souza Barroca;J. Branda;Estádio Antônio Accioly;9;14;4;3;38%;62%;291;459;74%;85%;16;14;4;5;0;0;1;1;3;12
2;05/06/2021;20:59;Santos;Ceará SC;3;1;F. Diniz Silva;A. Ferreira;Estádio Urbano Caldeira;15;6;5;3;57%;43%;548;419;84%;82%;18;19;3;1;0;0;1;3;4;1
2;05/06/2021;20:59;Bragantino;Bahia;3;3;M. Nogueira Barbieri;L. Cavalcanti;Nabizão;24;9;6;3;61%;39%;442;295;83%;72%;12;13;2;4;0;0;1;3;9;2
2;06/06/2021;11:00;Fluminense;Cuiabá;1;0;R. Machado Marques;L. Iubel;Estádio Vasco da Gama;8;10;3;4;44%;56%;394;489;84%;84%;22;15;2;1;0;0;0;4;0;1
2;06/06/2021;16:00;América-MG;Corinthians;0;1;L. Cirne Lima de Lorenzi;S. Campos Junior;Estádio Raimundo Sampaio;10;6;4;4;56%;44%;483;386;81%;77%;12;19;2;3;0;0;4;0;6;4
2;06/06/2021;16:00;Fortaleza;Internacional;5;1;J. Vojvoda;M. Ramírez;Arena Castelão;14;5;8;3;52%;48%;378;353;80%;81%;19;21;1;4;0;2;2;1;1;4
2;06/06/2021;18:15;Juventude;Athletico-PR;0;3;M. dos Santos Gonçalves;A. Cardoso de Oliveira;Alfredo Jaconi;13;11;1;5;59%;41%;519;366;88%;82%;14;27;0;2;0;0;1;3;5;1
2;06/06/2021;18:14;Palmeiras;Chapecoense;3;1;A. Moreira Ferreira;J. Ribeiro Ventura;Allianz Parque;17;6;4;4;67%;33%;550;279;88%;76%;10;11;2;0;0;0;1;2;5;3
2;06/06/2021;20:29;Sport Recife;Atlético-MG;0;1;U. Louzer Filho;A. Stival;Adelmar da Costa Carvalho;8;10;1;1;48%;52%;448;474;88%;87%;18;15;3;2;0;0;1;0;4;7
2;23/nov;21:01;Grêmio;Flamengo;2;2;V. Carmo Mancini;Renato Gaúcho;Arena do Grêmio;18;12;8;6;51%;49%;427;433;81%;83%;14;14;2;2;2;0;2;1;5;4
3;12/06/2021;19:00;Santos;Juventude;0;0;F. Diniz Silva;M. dos Santos Gonçalves;Estádio Urbano Caldeira;18;2;2;0;76%;24%;703;236;89%;70%;14;20;2;3;0;0;0;3;8;0
3;12/06/2021;19:00;Palmeiras;Corinthians;1;1;A. Moreira Ferreira;S. Campos Junior;Allianz Parque;12;9;3;4;52%;48%;491;458;85%;85%;14;14;3;0;0;0;4;2;4;4
3;13/06/2021;15:58;Atlético-MG;São Paulo;1;0;A. Stival;H. Crespo;Mineirão;9;5;2;0;42%;58%;382;514;84%;87%;14;22;0;1;0;0;2;1;4;5
3;13/06/2021;16:00;Grêmio;Athletico-PR;0;1;T. Retzalff Nunes;A. Cardoso de Oliveira;Arena do Grêmio;10;9;1;4;64%;36%;610;350;87%;78%;21;12;5;4;0;0;0;0;6;4
3;13/06/2021;16:00;Flamengo;América-MG;2;0;M. Souza;L. Cirne Lima de Lorenzi;Maracanã;20;9;6;1;65%;35%;672;366;88%;77%;17;18;0;0;0;0;3;1;4;2
3;13/06/2021;20:30;Bahia;Internacional;0;1;L. Cavalcanti;O. Loss;Estádio de Pituaçu;14;6;3;4;67%;33%;490;244;84%;68%;14;16;4;4;0;1;2;2;6;5
3;13/06/2021;20:29;Fortaleza;Sport Recife;1;0;J. Vojvoda;U. Louzer Filho;Arena Castelão;13;5;7;0;59%;41%;480;337;84%;74%;22;16;3;3;0;1;2;0;3;3
3;13/06/2021;20:30;Bragantino;Fluminense;2;2;M. Nogueira Barbieri;R. Machado Marques;Nabizão;16;15;5;4;47%;53%;390;437;78%;77%;11;8;3;1;0;0;0;2;10;10
3;13/06/2021;20:29;Chapecoense;Ceará SC;0;0;J. Ribeiro Ventura;A. Ferreira;Arena Condá;8;14;3;6;38%;62%;308;511;76%;84%;16;14;2;2;0;0;0;1;2;7
3;21/07/2021;19:00;Cuiabá;Atlético-GO;2;1;J. de Amorim Campos;E. de Souza Barroca;Arena Pantanal;20;9;7;3;56%;44%;444;346;83%;75%;17;14;5;4;0;1;0;0;0;4
4;16/06/2021;19:00;Internacional;Atlético-MG;0;1;O. Loss;A. Stival;Estádio José Pinheiro Borda;11;6;1;2;58%;42%;561;437;86%;80%;13;13;3;1;0;0;1;0;8;1
4;16/06/2021;19:00;São Paulo;Chapecoense;1;1;H. Crespo;J. Ribeiro Ventura;Morumbi;13;7;3;3;52%;48%;423;419;83%;78%;9;13;3;2;1;0;3;3;9;1
4;16/06/2021;20:30;Corinthians;Bragantino;1;2;S. Campos Junior;M. Nogueira Barbieri;Neo Química Arena;5;21;2;5;42%;58%;367;494;77%;85%;13;15;2;0;0;0;2;1;9;12
4;16/06/2021;21:30;Juventude;Palmeiras;0;3;M. dos Santos Gonçalves;A. Moreira Ferreira;Alfredo Jaconi;11;13;2;5;42%;58%;379;527;84%;87%;11;24;0;3;0;0;0;1;7;4
4;17/06/2021;16:00;América-MG;Cuiabá;0;0;C. de Almeida;L. Iubel;Estádio Raimundo Sampaio;20;8;6;3;57%;43%;413;322;82%;75%;16;16;1;1;0;0;2;3;3;2
4;17/06/2021;15:59;Ceará SC;Bahia;1;2;A. Ferreira;L. Cavalcanti;Arena Castelão;13;9;3;3;62%;38%;428;271;79%;64%;19;16;3;5;0;0;0;0;7;2
4;17/06/2021;19:01;Sport Recife;Grêmio;1;0;U. Louzer Filho;T. Retzalff Nunes;Adelmar da Costa Carvalho;10;14;4;7;33%;67%;301;600;71%;87%;16;11;5;4;0;0;1;2;2;7
4;17/06/2021;19:00;Atlético-GO;Fortaleza;0;0;E. de Souza Barroca;J. Vojvoda;Estádio Antônio Accioly;9;5;1;1;57%;43%;378;298;79%;73%;18;13;3;1;0;0;0;6;9;4
4;17/06/2021;19:00;Fluminense;Santos;1;0;R. Machado Marques;F. Diniz Silva;Maracanã;9;18;5;8;29%;71%;249;616;65%;86%;14;9;4;3;0;0;1;1;2;9
4;02/11/2021;16:00;Athletico-PR;Flamengo;2;2;A. Valentim do Carmo Neto;Renato Gaúcho;Estádio Joaquim Américo Guimarães;21;13;5;6;58%;42%;407;311;79%;72%;8;15;4;2;0;0;3;0;7;3
5;19/06/2021;21:00;Flamengo;Bragantino;2;3;R. Ceni;C. Maldonado;Maracanã;20;9;9;4;68%;32%;561;272;87%;76%;15;13;2;3;0;0;0;2;14;2
5;20/06/2021;11:01;Palmeiras;América-MG;2;1;A. Moreira Ferreira;C. de Almeida;Allianz Parque;15;12;6;5;58%;42%;422;316;77%;72%;15;10;3;4;0;0;0;3;7;5
5;20/06/2021;15:59;Bahia;Corinthians;0;0;L. Cavalcanti;S. Campos Junior;Estádio de Pituaçu;12;10;2;3;52%;48%;535;505;86%;83%;10;18;1;3;0;0;0;2;3;8
