rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;27/04/2019;16:02;São Paulo;Botafogo;2;0;A. Stival;E. de Souza Barroca;Morumbi;7;11;4;2;28%;72%;269;702;75%;89%;23;7;0;4;0;0;2;1;3;2
1;27/04/2019;19:00;Atlético-MG;Avaí;2;1;R. Marques Santana;E. Machado Souto;Estádio Raimundo Sampaio;11;6;3;1;60%;40%;549;362;86%;79%;12;18;0;1;0;0;0;1;4;4
1;27/04/2019;19:01;Chapecoense;Internacional;2;0;N. da Silveira Júnior;O. Hellmann;Arena Condá;12;20;7;7;43%;57%;392;511;77%;81%;15;11;1;1;0;0;0;2;3;5
1;27/04/2019;21:00;Flamengo;Cruzeiro;3;1;A. da Silva Braga;L. Venker de Menezes;Maracanã;17;2;5;1;58%;42%;526;396;85%;79%;13;17;4;4;0;1;0;1;6;2
1;28/04/2019;11:03;Grêmio;Santos;1;2;Renato Gaúcho;J. Sampaoli Moya;Arena do Grêmio;26;8;11;5;65%;35%;607;335;82%;71%;12;18;3;4;0;1;2;1;12;2
1;28/04/2019;16:01;Bahia;Corinthians;3;2;R. Machado Marques;F. Carille;Itaipava Arena Fonte Nova;15;9;6;3;43%;57%;351;474;75%;78%;17;5;1;4;0;0;1;0;4;4
1;28/04/2019;16:03;Athletico-PR;Vasco da Gama;4;1;T. Retzalff Nunes;M. Gomes Valadares;Estádio Joaquim Américo Guimarães;20;14;11;5;57%;43%;510;389;87%;85%;15;19;1;1;0;0;2;1;4;0
1;28/04/2019;16:00;Ceará SC;CSA;4;0;E. Alves Moreira;M. Ribeiro Cabo;Arena Castelão;16;6;8;1;55%;45%;497;416;87%;81%;15;4;0;0;0;1;2;1;3;6
1;28/04/2019;19:00;Palmeiras;Fortaleza;4;0;L. Scolari;R. Ceni;Allianz Parque;18;8;9;5;53%;47%;379;349;79%;79%;12;16;1;2;0;0;3;1;6;1
1;28/04/2019;19:27;Fluminense;Goiás;0;1;F. Diniz Silva;C. dos Santos Oliveira;Maracanã;15;8;3;2;72%;28%;598;235;90%;70%;14;9;4;1;0;0;1;0;5;5
2;01/05/2019;16:01;Internacional;Flamengo;2;1;O. Hellmann;A. da Silva Braga;Estádio José Pinheiro Borda;17;11;7;5;45%;55%;431;513;81%;81%;8;9;3;2;0;0;1;3;4;5
2;01/05/2019;16:00;CSA;Palmeiras;1;1;M. Ribeiro Cabo;L. Scolari;Estádio Rei Pelé;;;;;;;;;;;;;;;;;;;;
2;01/05/2019;16:01;Corinthians;Chapecoense;1;0;F. Carille;N. da Silveira Júnior;Neo Química Arena;12;10;4;1;52%;48%;424;403;81%;78%;14;10;2;1;0;0;1;1;7;2
2;01/05/2019;19:15;Cruzeiro;Ceará SC;1;0;L. Venker de Menezes;E. Alves Moreira;Mineirão;11;14;4;4;59%;41%;614;426;88%;81%;10;12;1;0;0;0;1;2;2;3
2;01/05/2019;19:17;Avaí;Grêmio;1;1;E. Machado Souto;Renato Gaúcho;Ressacada;13;4;3;2;43%;57%;375;504;73%;79%;15;17;4;3;0;0;0;0;11;4
2;01/05/2019;21:31;Goiás;São Paulo;1;2;C. dos Santos Oliveira;A. Stival;Estádio do Governo do Estado de Goiás (Serra Dourada);13;14;2;5;47%;53%;380;433;82%;86%;15;12;3;2;0;1;0;1;5;10
2;01/05/2019;21:31;Vasco da Gama;Atlético-MG;1;2;M. Gomes Valadares;R. Marques Santana;Estádio Vasco da Gama;21;14;4;4;51%;49%;461;466;83%;82%;12;9;0;0;0;0;0;1;8;4
2;01/05/2019;21:31;Fortaleza;Athletico-PR;2;1;R. Ceni;T. Retzalff Nunes;Arena Castelão;18;10;5;4;36%;64%;291;507;80%;89%;12;19;3;3;0;0;1;0;2;7
2;02/05/2019;19:15;Santos;Fluminense;2;1;J. Sampaoli Moya;F. Diniz Silva;Estádio Urbano Caldeira;22;10;10;4;42%;58%;377;517;81%;85%;25;14;3;2;0;0;1;3;6;1
2;02/05/2019;20:01;Botafogo;Bahia;3;2;E. de Souza Barroca;R. Machado Marques;Estádio Nilton Santos;9;19;5;4;53%;47%;482;421;80%;79%;11;15;3;0;0;0;0;4;3;6
3;04/05/2019;19:01;Vasco da Gama;Corinthians;1;1;M. Gomes Valadares;F. Carille;Arena da Amazônia;13;11;4;2;46%;54%;342;411;80%;84%;21;8;2;1;0;0;0;0;8;2
3;04/05/2019;19:00;Palmeiras;Internacional;1;0;L. Scolari;O. Hellmann;Allianz Parque;13;10;5;2;34%;66%;255;477;72%;82%;15;18;2;5;0;0;0;0;4;5
3;04/05/2019;21:01;Ceará SC;Atlético-MG;1;2;E. Alves Moreira;R. Marques Santana;Arena Castelão;9;15;3;6;46%;54%;450;531;84%;87%;12;7;0;1;0;0;1;1;6;4
3;05/05/2019;12:03;Chapecoense;Athletico-PR;1;1;N. da Silveira Júnior;T. Retzalff Nunes;Arena Condá;16;17;5;6;51%;49%;384;399;85%;85%;16;17;1;3;0;0;1;2;8;3
3;05/05/2019;16:01;São Paulo;Flamengo;1;1;A. Stival;A. da Silva Braga;Morumbi;22;9;11;1;65%;35%;456;259;87%;71%;16;15;1;7;0;0;0;2;6;2
3;05/05/2019;16:00;Botafogo;Fortaleza;1;0;E. de Souza Barroca;R. Ceni;Estádio Nilton Santos;9;14;4;3;57%;43%;539;406;89%;87%;10;16;0;2;0;0;0;1;7;4
3;05/05/2019;16:00;CSA;Santos;0;0;M. Ribeiro Cabo;J. Sampaoli Moya;Estádio Rei Pelé;10;17;3;7;28%;72%;250;632;66%;85%;11;13;1;4;0;0;1;1;2;12
3;05/05/2019;16:00;Cruzeiro;Goiás;2;1;L. Venker de Menezes;C. dos Santos Oliveira;Mineirão;20;13;6;4;61%;39%;519;333;87%;80%;14;10;1;1;0;1;1;1;5;4
3;05/05/2019;19:00;Grêmio;Fluminense;4;5;Renato Gaúcho;F. Diniz Silva;Arena do Grêmio;13;17;7;12;52%;48%;544;490;86%;83%;8;10;2;1;0;0;0;0;8;8
3;05/05/2019;19:00;Bahia;Avaí;1;0;R. Machado Marques;E. Machado Souto;Itaipava Arena Fonte Nova;20;9;11;1;53%;47%;394;367;74%;76%;27;15;1;2;0;0;0;1;9;1
4;11/05/2019;16:01;Fluminense;Botafogo;0;1;F. Diniz Silva;E. de Souza Barroca;Maracanã;23;9;6;3;64%;36%;504;305;91%;81%;16;12;3;5;0;0;4;4;8;3
4;11/05/2019;19:01;Corinthians;Grêmio;0;0;F. Carille;Renato Gaúcho;Neo Química Arena;11;8;4;2;48%;52%;474;513;81%;83%;13;19;2;4;0;0;0;1;3;2
4;11/05/2019;21:01;Goiás;Ceará SC;2;1;C. dos Santos Oliveira;E. Alves Moreira;Estádio do Governo do Estado de Goiás (Serra Dourada);12;13;6;3;37%;63%;295;487;79%;82%;20;12;2;2;0;0;2;2;2;7
4;12/05/2019;11:00;Flamengo;Chapecoense;2;1;A. da Silva Braga;N. da Silveira Júnior;Maracanã;19;20;7;7;57%;43%;464;362;85%;89%;18;9;2;3;0;0;1;1;7;4
4;12/05/2019;16:02;Santos;Vasco da Gama;3;0;J. Sampaoli Moya;M. Gomes Valadares;Estádio Municipal Paulo Machado de Carvalho;23;15;8;5;56%;44%;435;346;79%;75%;18;11;2;3;0;1;1;5;8;5
4;12/05/2019;10:53;Atlético-MG;Palmeiras;0;2;R. Marques Santana;L. Scolari;Mineirão;;;;;;;;;;;;;;;;;;;;
4;12/05/2019;16:01;Internacional;Cruzeiro;3;1;O. Hellmann;L. Venker de Menezes;Estádio José Pinheiro Borda;16;14;5;6;54%;46%;505;442;84%;82%;10;14;0;0;0;1;0;0;4;3
4;12/05/2019;19:01;Avaí;CSA;0;0;E. Machado Souto;M. Ribeiro Cabo;Ressacada;21;4;4;1;61%;39%;544;376;86%;73%;14;18;1;2;0;0;4;0;6;0
4;12/05/2019;19:00;Athletico-PR;Bahia;1;0;T. Retzalff Nunes;R. Machado Marques;Estádio Joaquim Américo Guimarães;18;13;9;4;63%;37%;539;309;87%;79%;13;14;2;3;0;0;3;2;8;6
4;12/05/2019;19:00;Fortaleza;São Paulo;0;1;R. Ceni;A. Stival;Arena Castelão;12;8;3;2;53%;47%;478;430;87%;87%;12;14;2;2;0;0;2;0;6;4
