rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
3;29/05/2017;20:00;Chapecoense;Avaí;2;0;V. Carmo Mancini;C. dos Santos Oliveira;Arena Condá;23;11;4;3;58%;42%;519;388;16;11;1;0;1;1;3;0;6;0
4;03/06/2017;16:01;Coritiba;Athletico-PR;1;0;E. Pacheco;E. Baptista;Couto Pereira;11;9;5;2;49%;51%;383;392;15;11;3;2;0;0;1;5;6;6
4;03/06/2017;18:00;Fluminense;EC Vitória;2;1;A. da Silva Braga;D. Petkovic;Maracanã;17;7;6;2;56%;44%;459;363;18;22;0;5;0;0;5;0;5;2
4;03/06/2017;19:01;Corinthians;Santos;2;0;F. Carille;D. Silvestre Júnior;Neo Química Arena;19;5;4;0;51%;49%;442;454;11;9;0;1;0;1;2;0;9;1
4;04/06/2017;11:01;Flamengo;Botafogo;0;0;J. Mannarino;J. Ribeiro Ventura;Estádio Municipal General Raulino de Oliveira;19;5;2;1;65%;35%;423;239;19;19;2;2;0;0;0;4;11;2
4;04/06/2017;11:00;Avaí;Sport Recife;1;0;C. dos Santos Oliveira;V. Luxemburgo da Silva;Ressacada;7;14;1;3;35%;65%;322;600;26;25;4;4;0;0;0;1;2;5
4;04/06/2017;16:00;Palmeiras;Atlético-MG;0;0;A. Stival;R. Machado Marques;Allianz Parque;15;9;5;3;53%;47%;398;363;20;12;2;4;0;0;1;2;7;6
4;04/06/2017;16:04;Ponte Preta;São Paulo;1;0;G. Kleina;R. Ceni;Moisés Lucarelli;10;11;5;3;45%;55%;365;436;13;12;2;5;0;0;2;3;7;7
4;04/06/2017;15:59;Grêmio;Vasco da Gama;2;0;Renato Gaúcho;M. Mendes;Arena do Grêmio;11;10;2;0;59%;41%;537;374;15;13;2;3;0;0;3;1;6;5
4;04/06/2017;19:00;Cruzeiro;Chapecoense;0;2;L. Venker de Menezes;V. Carmo Mancini;Mineirão;14;10;5;4;62%;38%;525;332;8;16;1;3;0;0;2;1;4;5
4;05/06/2017;20:00;Bahia;Atlético-GO;3;0;J. de Amorim Campos;M. Ribeiro Cabo;Itaipava Arena Fonte Nova;18;8;8;3;60%;40%;462;321;21;27;0;2;0;0;6;4;7;4
5;06/06/2017;19:59;Fluminense;Athletico-PR;1;1;A. da Silva Braga;E. Baptista;Maracanã;15;7;7;1;54%;46%;394;346;19;16;3;3;0;0;1;1;10;4
5;07/06/2017;19:29;Atlético-MG;Avaí;1;0;R. Machado Marques;C. dos Santos Oliveira;Estádio Raimundo Sampaio;7;13;4;3;54%;46%;469;390;20;10;3;1;0;0;4;4;2;10
5;07/06/2017;19:31;Coritiba;Palmeiras;1;0;E. Pacheco;A. Stival;Couto Pereira;5;12;3;4;43%;57%;331;421;14;17;4;3;0;0;7;1;2;8
5;07/06/2017;20:59;Santos;Botafogo;1;0;Elano;J. Ribeiro Ventura;Estádio Municipal Paulo Machado de Carvalho;8;8;3;2;62%;38%;594;367;13;9;4;2;0;0;2;2;7;2
5;07/06/2017;21:44;Vasco da Gama;Corinthians;2;5;E. Da Conceição Silva;F. Carille;Estádio Vasco da Gama;27;10;9;6;58%;42%;448;357;10;14;0;3;0;0;2;3;14;1
5;07/06/2017;21:45;Sport Recife;Flamengo;2;0;V. Luxemburgo da Silva;J. Mannarino;Adelmar da Costa Carvalho;14;17;5;7;39%;61%;302;465;17;16;2;2;0;0;1;2;3;8
5;08/06/2017;19:29;Atlético-GO;Ponte Preta;3;0;J. P. Sanches;G. Kleina;Estádio Olímpico Pedro Ludovico Teixeira;13;10;7;4;36%;64%;297;536;20;9;1;2;0;1;4;0;8;3
5;08/06/2017;19:31;São Paulo;EC Vitória;2;0;R. Ceni;A. Tadeu Gallo;Morumbi;18;11;9;3;51%;49%;370;371;14;18;1;1;0;0;1;1;10;6
5;08/06/2017;20:01;Chapecoense;Grêmio;3;6;V. Carmo Mancini;Renato Gaúcho;Arena Condá;18;10;7;7;47%;53%;362;414;22;9;4;3;0;0;0;2;5;1
5;08/06/2017;21:00;Bahia;Cruzeiro;1;0;J. de Amorim Campos;L. Venker de Menezes;Itaipava Arena Fonte Nova;19;12;5;4;59%;41%;534;362;18;12;4;2;0;1;0;1;5;6
6;10/06/2017;16:00;Palmeiras;Fluminense;3;1;A. Stival;A. da Silva Braga;Allianz Parque;16;10;6;3;56%;44%;419;322;24;19;4;2;0;0;3;1;6;3
6;10/06/2017;18:59;Vasco da Gama;Sport Recife;2;1;M. Mendes;V. Luxemburgo da Silva;Estádio Vasco da Gama;14;8;4;3;49%;51%;365;378;15;19;0;1;0;0;2;2;3;3
6;11/06/2017;11:02;Botafogo;Coritiba;2;2;J. Ribeiro Ventura;E. Pacheco;Estádio Nilton Santos;13;8;6;4;53%;47%;409;358;14;28;4;3;0;0;1;1;5;5
6;11/06/2017;16:00;Ponte Preta;Chapecoense;3;2;G. Kleina;V. Carmo Mancini;Moisés Lucarelli;5;17;3;7;34%;66%;257;467;8;22;2;4;0;0;3;2;1;6
6;11/06/2017;16:02;Avaí;Flamengo;1;1;C. dos Santos Oliveira;J. Mannarino;Ressacada;12;9;2;3;38%;62%;327;523;17;18;2;1;1;0;1;2;4;9
6;11/06/2017;16:01;EC Vitória;Atlético-MG;2;0;A. Tadeu Gallo;R. Machado Marques;Barradão;6;9;3;1;42%;58%;353;480;20;7;3;2;0;0;2;1;4;4
6;11/06/2017;16:00;Corinthians;São Paulo;3;2;F. Carille;R. Ceni;Neo Química Arena;11;13;6;4;56%;44%;492;386;11;15;1;1;0;0;2;1;3;0
6;11/06/2017;18:29;Cruzeiro;Atlético-GO;2;0;L. Venker de Menezes;D. Ghidoni Junior;Mineirão;19;5;9;3;70%;30%;622;264;11;21;3;4;0;0;1;1;7;2
6;11/06/2017;19:00;Athletico-PR;Santos;0;2;E. Baptista;Elano;Estádio Joaquim Américo Guimarães;16;10;2;5;57%;43%;495;391;15;12;1;0;0;1;2;3;7;4
6;12/06/2017;19:59;Grêmio;Bahia;1;0;Renato Gaúcho;J. de Amorim Campos;Arena do Grêmio;18;7;5;3;64%;36%;643;361;15;16;0;1;0;0;2;0;11;4
7;14/06/2017;19:30;Atlético-MG;Athletico-PR;0;1;R. Machado Marques;E. Baptista;Estádio Raimundo Sampaio;24;6;3;2;69%;31%;514;243;11;10;2;4;0;1;2;4;12;6
7;14/06/2017;19:29;Atlético-GO;Avaí;3;1;D. Ghidoni Junior;C. dos Santos Oliveira;Estádio Olímpico Pedro Ludovico Teixeira;17;3;5;1;47%;53%;377;441;21;24;3;6;0;0;2;1;7;2
7;14/06/2017;19:31;EC Vitória;Botafogo;2;2;A. Tadeu Gallo;J. Ribeiro Ventura;Barradão;15;17;3;8;55%;45%;456;378;12;10;1;1;1;0;0;2;2;7
7;14/06/2017;19:31;Sport Recife;São Paulo;0;0;V. Luxemburgo da Silva;R. Ceni;Adelmar da Costa Carvalho;7;7;3;1;57%;43%;465;355;21;14;1;1;0;0;1;3;5;1
7;14/06/2017;21:00;Flamengo;Ponte Preta;2;0;J. Mannarino;G. Kleina;Luso-Brasileiro;23;14;5;3;56%;44%;476;380;12;16;2;2;0;0;2;1;5;4
7;14/06/2017;21:46;Santos;Palmeiras;1;0;L. Culpi;A. Stival;Estádio Urbano Caldeira;9;16;5;6;45%;55%;406;490;16;14;1;3;0;0;2;3;10;7
7;14/06/2017;21:45;Chapecoense;Vasco da Gama;2;1;V. Carmo Mancini;M. Mendes;Arena Condá;17;5;10;2;52%;48%;363;362;24;15;3;2;0;0;1;0;3;5
7;14/06/2017;21:47;Corinthians;Cruzeiro;1;0;F. Carille;L. Venker de Menezes;Neo Química Arena;7;18;3;2;53%;47%;533;470;9;16;0;1;0;0;6;4;6;7
7;15/06/2017;16:05;Coritiba;Bahia;0;0;E. Pacheco;J. de Amorim Campos;Couto Pereira;7;10;1;3;47%;53%;323;367;16;14;1;4;1;1;5;2;5;6
7;15/06/2017;21:00;Fluminense;Grêmio;0;2;A. da Silva Braga;Renato Gaúcho;Maracanã;12;12;2;4;51%;49%;494;505;12;17;4;3;0;0;2;1;3;2
8;17/06/2017;15:59;Atlético-GO;Athletico-PR;0;1;D. Ghidoni Junior;E. Baptista;Estádio Olímpico Pedro Ludovico Teixeira;24;9;6;3;66%;34%;601;332;16;15;1;5;0;0;0;0;11;0
8;17/06/2017;19:00;Vasco da Gama;Avaí;1;0;M. Mendes;C. dos Santos Oliveira;Estádio Vasco da Gama;16;11;5;4;49%;51%;399;415;20;22;4;1;0;0;0;0;4;6
8;17/06/2017;21:01;Santos;Ponte Preta;0;0;L. Culpi;G. Kleina;Estádio Municipal Paulo Machado de Carvalho;13;9;4;2;58%;42%;560;423;17;13;3;4;0;0;2;3;5;2
8;18/06/2017;11:03;Coritiba;Corinthians;0;0;E. Pacheco;F. Carille;Couto Pereira;13;5;5;0;45%;55%;339;434;18;13;2;3;0;0;3;5;10;4
8;18/06/2017;16:01;Bahia;Palmeiras;2;4;J. de Amorim Campos;A. Stival;Itaipava Arena Fonte Nova;15;17;9;5;62%;38%;442;271;14;23;2;5;0;0;2;1;3;5
8;18/06/2017;16:01;Fluminense;Flamengo;2;2;A. da Silva Braga;J. Mannarino;Maracanã;12;14;4;5;39%;61%;240;369;16;25;1;6;0;0;0;1;3;4
8;18/06/2017;16:00;Chapecoense;Botafogo;0;2;V. Carmo Mancini;J. Ribeiro Ventura;Arena Condá;21;7;6;4;59%;41%;421;309;11;13;0;2;0;0;2;4;8;3
8;18/06/2017;16:00;São Paulo;Atlético-MG;1;2;R. Ceni;R. Machado Marques;Morumbi;12;8;2;3;60%;40%;445;312;12;24;2;2;0;0;4;4;5;3
8;18/06/2017;19:00;Sport Recife;EC Vitória;1;3;V. Luxemburgo da Silva;A. Tadeu Gallo;Adelmar da Costa Carvalho;11;13;6;6;57%;43%;483;375;10;19;0;0;0;0;3;1;5;5
