rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
28;07/01/2021;19:00;Ceará SC;Internacional;0;2;A. Ferreira;A. da Silva Braga;Arena Castelão;19;8;6;3;61%;39%;495;328;86%;79%;18;16;6;4;0;0;0;0;7;4
28;07/01/2021;21:00;Atlético-GO;Vasco da Gama;0;0;M. Ribeiro Cabo;V. Luxemburgo da Silva;Estádio Antônio Accioly;8;15;3;6;44%;56%;339;423;74%;82%;19;17;3;2;0;0;2;2;3;4
28;18/01/2021;19:00;Palmeiras;Corinthians;4;0;A. Moreira Ferreira;V. Carmo Mancini;Allianz Parque;15;10;9;4;57%;43%;430;327;86%;77%;14;11;2;3;0;1;3;0;7;7
28;26/01/2021;19:59;Atlético-MG;Santos;2;0;J. Sampaoli Moya;A. Stival;Mineirão;10;5;5;3;66%;34%;665;341;87%;75%;10;14;1;1;0;0;1;0;4;2
29;09/01/2021;19:01;Sport Recife;Palmeiras;0;1;J. Ribeiro Ventura;A. Moreira Ferreira;Adelmar da Costa Carvalho;11;12;5;4;59%;41%;518;366;85%;76%;15;21;5;3;0;0;2;2;7;6
29;09/01/2021;19:00;Coritiba;Athletico-PR;0;0;J. Bertagnoli;P. Autuori de Mello;Couto Pereira;13;3;2;1;40%;60%;389;584;82%;86%;11;10;2;1;0;0;0;0;3;2
29;09/01/2021;21:00;Fortaleza;Grêmio;0;0;E. Alves Moreira;Renato Gaúcho;Arena Castelão;14;11;5;3;55%;45%;447;366;84%;82%;17;12;4;2;0;0;3;1;4;5
29;10/01/2021;16:00;São Paulo;Santos;0;1;F. Diniz Silva;A. Stival;Morumbi;26;7;5;2;69%;31%;531;249;89%;67%;19;21;2;4;0;0;0;0;8;3
29;10/01/2021;16:00;Flamengo;Ceará SC;0;2;R. Ceni;A. Ferreira;Maracanã;21;8;5;4;75%;25%;675;233;90%;72%;10;12;3;1;0;0;3;0;6;1
29;10/01/2021;18:14;Atlético-GO;Bahia;1;1;M. Ribeiro Cabo;L. Cavalcanti;Estádio Antônio Accioly;13;16;6;4;42%;58%;301;424;75%;84%;20;18;2;0;0;0;3;1;6;6
29;10/01/2021;18:15;Internacional;Goiás;1;0;A. da Silva Braga;A. César;Estádio José Pinheiro Borda;10;14;3;4;41%;59%;332;479;78%;80%;14;14;0;2;0;0;2;1;6;2
29;10/01/2021;20:30;Vasco da Gama;Botafogo;3;0;V. Luxemburgo da Silva;E. de Souza Barroca;Estádio Vasco da Gama;18;12;7;5;51%;49%;465;458;82%;84%;11;13;1;0;0;0;0;4;6;3
29;11/01/2021;20:01;Bragantino;Atlético-MG;2;2;M. Nogueira Barbieri;J. Sampaoli Moya;Nabizão;11;19;4;6;44%;56%;390;490;79%;83%;15;11;4;0;0;0;0;1;6;6
29;13/01/2021;21:30;Corinthians;Fluminense;5;0;V. Carmo Mancini;A. dos Santos Ferraz;Neo Química Arena;19;14;8;2;58%;42%;522;387;85%;82%;17;15;1;2;0;0;1;3;3;3
30;15/01/2021;21:30;Palmeiras;Grêmio;1;1;A. Moreira Ferreira;Renato Gaúcho;Allianz Parque;16;12;6;7;45%;55%;431;530;89%;87%;22;10;3;1;0;0;2;0;3;7
30;16/01/2021;19:00;Fluminense;Sport Recife;1;0;M. de Oliveira;J. Ribeiro Ventura;Estádio Nilton Santos;11;10;1;0;66%;34%;540;276;85%;72%;23;18;1;1;0;1;2;1;5;4
30;16/01/2021;20:59;Vasco da Gama;Coritiba;0;1;V. Luxemburgo da Silva;J. Bertagnoli;Estádio Vasco da Gama;10;13;3;4;53%;47%;507;468;87%;88%;10;13;2;2;1;0;1;0;10;2
30;17/01/2021;15:59;Athletico-PR;São Paulo;1;1;P. Autuori de Mello;F. Diniz Silva;Estádio Joaquim Américo Guimarães;8;9;3;2;40%;60%;376;551;80%;89%;10;14;2;1;0;0;0;8;1;3
30;17/01/2021;15:59;Santos;Botafogo;2;1;A. Stival;E. de Souza Barroca;Estádio Urbano Caldeira;23;7;5;3;59%;41%;410;285;85%;78%;8;24;2;1;0;0;2;3;15;6
30;17/01/2021;18:15;Atlético-MG;Atlético-GO;3;1;J. Sampaoli Moya;M. Ribeiro Cabo;Mineirão;22;13;6;3;61%;39%;547;356;87%;81%;13;14;2;3;0;0;0;2;10;9
30;17/01/2021;20:30;Ceará SC;Bragantino;1;2;A. Faganello;M. Nogueira Barbieri;Arena Castelão;12;15;3;7;36%;64%;290;494;73%;87%;13;16;1;2;0;0;1;0;6;9
30;17/01/2021;20:31;Internacional;Fortaleza;4;2;A. da Silva Braga;E. Alves Moreira;Estádio José Pinheiro Borda;11;10;5;2;45%;55%;352;443;80%;83%;24;17;0;3;0;0;0;1;6;1
30;18/01/2021;20:00;Goiás;Flamengo;0;3;G. Ramos da Silva;R. Ceni;Estádio da Serrinha;9;12;3;6;40%;60%;357;526;75%;84%;24;13;5;1;0;0;1;3;4;5
30;28/01/2021;18:59;Bahia;Corinthians;2;1;L. Cavalcanti;V. Carmo Mancini;Itaipava Arena Fonte Nova;8;15;7;5;41%;59%;291;382;70%;77%;24;19;3;1;0;0;0;1;3;10
31;20/01/2021;17:00;Botafogo;Atlético-GO;1;3;E. de Souza Barroca;M. Ribeiro Cabo;Estádio Nilton Santos;17;14;5;5;48%;52%;365;384;78%;83%;17;14;2;3;0;0;2;1;3;6
31;20/01/2021;17:59;Bahia;Athletico-PR;1;0;L. Cavalcanti;P. Autuori de Mello;Itaipava Arena Fonte Nova;11;12;4;1;40%;60%;347;528;81%;89%;15;14;2;0;0;0;3;2;9;4
31;20/01/2021;19:15;Grêmio;Atlético-MG;1;1;Renato Gaúcho;J. Sampaoli Moya;Arena do Grêmio;8;10;3;4;58%;42%;637;470;84%;79%;11;7;1;1;0;0;1;2;3;1
31;20/01/2021;20:30;Coritiba;Fluminense;3;3;J. Bertagnoli;M. de Oliveira;Couto Pereira;9;20;4;5;41%;59%;340;459;78%;84%;21;10;1;4;1;1;1;1;2;12
31;20/01/2021;21:30;São Paulo;Internacional;1;5;F. Diniz Silva;A. da Silva Braga;Morumbi;11;19;5;7;71%;29%;624;257;86%;75%;15;19;2;1;0;0;0;2;7;2
31;20/01/2021;21:29;Bragantino;Vasco da Gama;4;1;M. Nogueira Barbieri;V. Luxemburgo da Silva;Nabizão;20;8;9;4;54%;46%;525;455;86%;79%;12;17;0;0;0;0;1;0;3;3
31;21/01/2021;19:00;Flamengo;Palmeiras;2;0;R. Ceni;A. Moreira Ferreira;Estádio Nacional de Brasília;15;6;6;0;51%;49%;460;444;82%;80%;26;15;2;2;0;0;1;2;4;1
31;21/01/2021;19:00;Fortaleza;Santos;2;0;E. Alves Moreira;A. Stival;Arena Castelão;10;12;3;3;47%;53%;340;378;78%;82%;20;14;3;0;0;0;4;1;7;5
31;21/01/2021;19:00;Goiás;Ceará SC;0;4;G. Ramos da Silva;A. Ferreira;Estádio da Serrinha;14;12;2;4;58%;42%;513;385;82%;78%;12;11;1;0;0;0;1;0;6;1
31;21/01/2021;21:00;Corinthians;Sport Recife;3;0;V. Carmo Mancini;J. Ribeiro Ventura;Neo Química Arena;20;10;12;4;62%;38%;545;348;83%;77%;9;7;1;0;0;0;2;3;6;5
32;23/01/2021;19:00;São Paulo;Coritiba;1;1;F. Diniz Silva;J. Bertagnoli;Morumbi;18;10;6;3;65%;35%;641;367;89%;76%;19;16;1;2;0;0;1;0;7;2
32;23/01/2021;21:00;Vasco da Gama;Atlético-MG;3;2;V. Luxemburgo da Silva;J. Sampaoli Moya;Estádio Vasco da Gama;6;17;3;4;25%;75%;234;684;72%;90%;15;11;4;1;0;0;0;0;2;9
32;24/01/2021;16:00;Internacional;Grêmio;2;1;A. da Silva Braga;Renato Gaúcho;Estádio José Pinheiro Borda;17;9;4;3;45%;55%;382;467;81%;82%;19;15;2;2;0;0;0;1;6;1
32;24/01/2021;16:01;Athletico-PR;Flamengo;2;1;P. Autuori de Mello;R. Ceni;Estádio Joaquim Américo Guimarães;11;12;8;2;41%;59%;384;556;82%;88%;20;11;2;0;0;0;4;1;3;3
32;24/01/2021;16:00;Ceará SC;Palmeiras;2;1;A. Ferreira;A. Moreira Ferreira;Arena Castelão;9;12;3;4;40%;60%;338;480;79%;85%;9;16;2;5;1;0;3;6;2;7
32;24/01/2021;18:16;Atlético-GO;Fortaleza;2;0;M. Ribeiro Cabo;E. Alves Moreira;Estádio Antônio Accioly;7;11;3;3;45%;55%;329;395;79%;82%;12;13;2;1;0;1;0;2;5;5
32;24/01/2021;18:15;Sport Recife;Bahia;2;0;J. Ribeiro Ventura;L. Cavalcanti;Adelmar da Costa Carvalho;19;9;6;2;58%;42%;456;335;83%;77%;16;8;3;0;0;0;5;1;10;3
32;24/01/2021;18:15;Santos;Goiás;3;4;A. Stival;A. César;Estádio Urbano Caldeira;20;17;9;6;64%;36%;476;269;87%;71%;11;19;4;4;0;0;4;2;11;3
32;24/01/2021;20:30;Fluminense;Botafogo;2;0;M. de Oliveira;E. de Souza Barroca;Estádio Vasco da Gama;12;5;5;0;48%;52%;394;435;83%;81%;20;20;2;1;0;0;0;1;2;1
32;25/01/2021;20:00;Corinthians;Bragantino;0;2;V. Carmo Mancini;M. Nogueira Barbieri;Neo Química Arena;13;13;5;4;60%;40%;546;378;77%;72%;16;14;5;4;0;0;2;3;8;3
