rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;09/05/2015;18:32;Chapecoense;Coritiba;2;1;V. Eutrópio;M. dos Santos Gonçalves;Arena Condá;13;16;0;0;45%;55%;326;388;20;21;2;2;0;0;3;0;3;5
1;09/05/2015;18:33;Palmeiras;Atlético-MG;2;2;O. de Oliveira Filho;L. Culpi;Allianz Parque;17;10;0;0;50%;50%;406;426;20;14;2;4;0;0;2;4;11;2
1;09/05/2015;21:00;Fluminense;Joinville;1;0;S. Drubscky de Campos;H. Maria;Maracanã;26;3;11;0;74%;26%;702;250;9;14;2;0;0;1;1;1;5;3
1;10/05/2015;11:00;Grêmio;Ponte Preta;3;3;L. Scolari;A. Ferreira;Arena do Grêmio;11;17;0;0;45%;55%;401;473;17;21;3;4;0;1;2;0;5;10
1;10/05/2015;16:00;Athletico-PR;Internacional;3;0;M. Mendes;D. Aguirre Camblor;Estádio Joaquim Américo Guimarães;10;17;0;0;39%;61%;335;502;17;17;1;2;0;0;1;1;2;11
1;10/05/2015;16:02;São Paulo;Flamengo;2;1;M. Cruz;V. Luxemburgo da Silva;Morumbi;19;12;0;0;54%;46%;502;430;17;12;2;1;0;0;1;6;4;6
1;10/05/2015;15:59;Cruzeiro;Corinthians;0;1;M. de Oliveira Santos;A. Bacchi;Arena Pantanal;13;11;0;0;56%;44%;487;391;17;15;3;1;0;0;4;2;2;4
1;10/05/2015;15:59;Sport Recife;Figueirense;4;1;E. Baptista;A. Fucks;Adelmar da Costa Carvalho;17;7;0;0;54%;46%;449;391;17;14;1;2;0;1;0;3;7;1
1;10/05/2015;18:34;Avaí;Santos;1;1;G. Kleina;M. Fernandes;Ressacada;16;8;0;0;51%;49%;462;452;10;11;2;1;0;1;2;2;4;3
1;10/05/2015;18:29;Vasco da Gama;Goiás;0;0;D. Ghidoni Junior;H. Pinto dos Anjos;Estádio Vasco da Gama;11;5;0;0;62%;38%;439;279;16;27;3;5;0;0;0;2;4;2
2;16/05/2015;18:29;Goiás;Athletico-PR;2;0;H. Pinto dos Anjos;M. Mendes;Estádio do Governo do Estado de Goiás (Serra Dourada);13;8;0;0;41%;59%;334;477;14;18;2;1;0;1;0;1;6;5
2;16/05/2015;18:33;Coritiba;Grêmio;2;0;M. dos Santos Gonçalves;L. Scolari;Couto Pereira;9;10;0;0;43%;57%;353;456;22;13;2;3;0;0;3;4;2;4
2;16/05/2015;21:02;Corinthians;Chapecoense;1;0;A. Bacchi;V. Eutrópio;Estádio Doutor Adhemar de Barros;13;11;0;0;46%;54%;437;487;16;13;2;4;0;0;1;5;7;2
2;17/05/2015;11:03;Figueirense;Vasco da Gama;0;0;A. Fucks;D. Ghidoni Junior;Orlando Scarpelli;12;14;0;0;47%;53%;381;436;18;13;2;6;0;0;3;0;6;7
2;17/05/2015;16:01;Atlético-MG;Fluminense;4;1;L. Culpi;S. Drubscky de Campos;Estádio Nacional de Brasília;16;8;8;2;54%;46%;466;411;17;9;2;1;0;0;1;2;7;0
2;17/05/2015;16:02;Flamengo;Sport Recife;2;2;V. Luxemburgo da Silva;E. Baptista;Maracanã;18;14;0;0;59%;41%;492;373;10;7;2;3;0;0;6;1;13;3
2;17/05/2015;16:02;Santos;Cruzeiro;1;0;M. Fernandes;M. de Oliveira Santos;Estádio Urbano Caldeira;20;7;0;0;44%;56%;351;445;18;13;1;4;0;0;2;5;15;3
2;17/05/2015;18:31;Joinville;Palmeiras;0;0;H. Maria;O. de Oliveira Filho;Arena Joinville;8;11;0;0;39%;61%;377;589;17;12;3;1;0;0;5;3;1;5
2;17/05/2015;18:33;Ponte Preta;São Paulo;1;0;A. Ferreira;M. Cruz;Moisés Lucarelli;19;10;0;0;40%;60%;373;549;15;14;1;3;0;0;5;1;6;4
2;17/05/2015;18:30;Internacional;Avaí;1;0;D. Aguirre Camblor;G. Kleina;Estádio José Pinheiro Borda;8;6;0;0;57%;43%;451;345;17;26;3;7;0;0;2;4;4;9
3;23/05/2015;18:33;São Paulo;Joinville;3;0;M. Cruz;H. Maria;Morumbi;16;7;0;0;63%;37%;642;380;12;11;2;0;0;0;3;1;5;0
3;23/05/2015;18:31;Vasco da Gama;Internacional;1;1;D. Ghidoni Junior;D. Aguirre Camblor;Estádio Vasco da Gama;13;7;0;0;61%;39%;466;312;15;16;6;2;0;1;1;0;8;1
3;23/05/2015;21:00;Grêmio;Figueirense;1;0;J. Freitas;A. Fucks;Arena do Grêmio;19;5;0;0;63%;37%;536;326;16;24;6;5;0;0;1;1;11;4
3;24/05/2015;11:02;Palmeiras;Goiás;0;1;O. de Oliveira Filho;H. Pinto dos Anjos;Allianz Parque;21;7;0;0;74%;26%;445;171;13;24;6;4;1;1;5;1;13;6
3;24/05/2015;16:00;Chapecoense;Santos;1;0;V. Eutrópio;M. Fernandes;Arena Condá;13;15;0;0;40%;60%;307;462;13;20;5;6;0;0;3;3;4;5
3;24/05/2015;16:00;Athletico-PR;Atlético-MG;1;0;M. Mendes;L. Culpi;Estádio Joaquim Américo Guimarães;11;16;0;0;36%;64%;324;537;7;8;4;0;1;0;4;3;2;9
3;24/05/2015;16:00;Fluminense;Corinthians;0;0;E. Alves Moreira;A. Bacchi;Maracanã;15;7;4;2;42%;58%;355;500;19;6;2;2;0;0;2;3;9;6
3;24/05/2015;16:02;Avaí;Flamengo;2;1;G. Kleina;V. Luxemburgo da Silva;Ressacada;13;8;0;0;43%;57%;338;443;15;17;5;6;0;0;0;7;4;2
3;24/05/2015;18:30;Cruzeiro;Ponte Preta;1;1;M. de Oliveira Santos;A. Ferreira;Mineirão;22;15;0;0;54%;46%;390;357;17;11;2;2;0;0;3;4;16;3
3;24/05/2015;18:31;Sport Recife;Coritiba;1;0;E. Baptista;M. dos Santos Gonçalves;Adelmar da Costa Carvalho;12;9;0;0;49%;51%;388;385;13;17;1;4;0;0;1;0;2;5
4;30/05/2015;18:30;Ponte Preta;Chapecoense;3;1;A. Ferreira;V. Eutrópio;Moisés Lucarelli;13;14;0;0;47%;53%;438;483;20;15;4;1;0;1;1;0;0;4
4;30/05/2015;18:32;Coritiba;Avaí;1;2;M. dos Santos Gonçalves;G. Kleina;Couto Pereira;11;11;0;0;58%;42%;413;310;17;21;4;4;0;0;3;0;5;3
4;30/05/2015;21:00;Joinville;Athletico-PR;1;2;H. Maria;M. Mendes;Arena Joinville;10;19;0;0;54%;46%;464;399;12;13;0;4;0;0;1;4;4;7
4;31/05/2015;10:59;Santos;Sport Recife;2;2;M. Fernandes;E. Baptista;Estádio Urbano Caldeira;18;15;0;0;54%;46%;472;415;9;11;1;2;0;0;6;0;8;7
4;31/05/2015;16:00;Goiás;Grêmio;1;1;H. Pinto dos Anjos;R. Machado Marques;Estádio do Governo do Estado de Goiás (Serra Dourada);10;9;0;0;41%;59%;345;495;14;14;1;1;0;0;0;1;2;3
4;31/05/2015;15:59;Atlético-MG;Vasco da Gama;3;0;L. Culpi;D. Ghidoni Junior;Estádio Raimundo Sampaio;21;9;0;0;53%;47%;457;413;16;12;0;3;0;0;2;3;5;7
4;31/05/2015;16:03;Corinthians;Palmeiras;0;2;A. Bacchi;O. de Oliveira Filho;Neo Química Arena;9;12;0;0;54%;46%;477;409;21;21;5;5;0;0;4;3;2;6
4;31/05/2015;16:01;Internacional;São Paulo;0;0;D. Aguirre Camblor;J. Osorio;Estádio José Pinheiro Borda;8;14;0;0;54%;46%;516;434;19;17;3;0;0;1;3;3;5;10
4;31/05/2015;18:29;Flamengo;Fluminense;2;3;C. Borges dos Santos;E. Alves Moreira;Maracanã;15;7;5;2;67%;33%;475;253;24;23;5;3;1;1;1;0;8;1
4;31/05/2015;18:31;Figueirense;Cruzeiro;2;1;A. Fucks;M. de Oliveira Santos;Orlando Scarpelli;9;22;0;0;32%;68%;266;545;17;11;3;5;0;1;2;1;5;4
5;03/06/2015;19:31;Athletico-PR;Figueirense;1;0;M. Mendes;A. Fucks;Estádio Joaquim Américo Guimarães;12;9;0;0;47%;53%;385;442;12;8;1;4;0;0;1;5;6;4
5;03/06/2015;19:32;Vasco da Gama;Ponte Preta;0;3;D. Ghidoni Junior;A. Ferreira;Estádio Vasco da Gama;14;16;0;0;52%;48%;441;417;15;18;1;3;2;0;0;3;6;2
5;03/06/2015;19:32;Chapecoense;Joinville;2;0;V. Eutrópio;H. Maria;Arena Condá;10;12;0;0;53%;47%;349;314;16;12;3;5;0;0;1;1;7;10
5;03/06/2015;21:02;São Paulo;Santos;3;2;J. Osorio;M. Fernandes;Morumbi;13;8;0;0;63%;37%;531;329;14;15;5;3;0;1;1;0;8;1
5;03/06/2015;22:01;Cruzeiro;Flamengo;1;0;V. Luxemburgo da Silva;C. Borges dos Santos;Mineirão;11;8;0;0;52%;48%;410;378;16;17;2;3;0;0;2;1;5;10
5;03/06/2015;22:00;Avaí;Atlético-MG;1;4;G. Kleina;L. Culpi;Ressacada;7;16;0;0;46%;54%;395;479;12;15;3;3;0;0;3;4;10;7
5;03/06/2015;21:59;Grêmio;Corinthians;3;1;R. Machado Marques;A. Bacchi;Arena do Grêmio;13;20;0;0;38%;62%;397;627;22;10;2;3;0;0;6;0;3;5
5;04/06/2015;16:00;Fluminense;Coritiba;2;0;E. Alves Moreira;M. dos Santos Gonçalves;Maracanã;12;8;6;4;53%;47%;451;414;13;24;1;4;0;0;1;3;3;4
5;04/06/2015;21:01;Sport Recife;Goiás;1;0;E. Baptista;H. Pinto dos Anjos;Adelmar da Costa Carvalho;16;9;0;0;67%;33%;597;296;11;13;2;4;0;0;4;1;7;3
5;04/06/2015;21:02;Palmeiras;Internacional;1;1;O. de Oliveira Filho;D. Aguirre Camblor;Allianz Parque;15;5;0;0;57%;43%;456;354;15;13;1;4;0;0;3;1;9;2
6;06/06/2015;18:30;Atlético-MG;Cruzeiro;1;3;L. Culpi;V. Luxemburgo da Silva;Estádio Raimundo Sampaio;14;11;0;0;64%;36%;462;268;12;13;0;0;0;0;3;2;7;6
6;06/06/2015;18:29;Flamengo;Chapecoense;1;0;C. Borges dos Santos;V. Eutrópio;Maracanã;18;6;0;0;64%;36%;437;262;13;12;1;0;0;1;2;1;5;1
6;06/06/2015;18:30;Santos;Ponte Preta;2;2;M. Fernandes;A. Ferreira;Estádio Urbano Caldeira;18;19;0;0;52%;48%;451;416;17;15;2;2;0;0;2;3;6;2
6;06/06/2015;22:01;Athletico-PR;Vasco da Gama;2;0;M. Mendes;D. Ghidoni Junior;Estádio Joaquim Américo Guimarães;13;14;0;0;45%;55%;380;480;15;7;4;3;0;0;2;2;7;3
6;06/06/2015;21:58;Joinville;Corinthians;0;1;A. Batista;A. Bacchi;Arena Joinville;14;13;0;0;51%;49%;432;430;8;9;1;1;0;0;1;0;9;5
6;06/06/2015;22:01;São Paulo;Grêmio;2;0;J. Osorio;R. Machado Marques;Morumbi;13;9;0;0;60%;40%;631;436;19;14;3;2;0;0;2;1;4;3
6;07/06/2015;11:02;Internacional;Coritiba;2;0;D. Aguirre Camblor;M. dos Santos Gonçalves;Estádio José Pinheiro Borda;12;18;0;0;51%;49%;424;401;5;16;3;5;1;0;2;4;3;11
6;07/06/2015;19:32;Figueirense;Palmeiras;2;1;A. Fucks;O. de Oliveira Filho;Orlando Scarpelli;7;13;0;0;33%;67%;253;506;22;14;3;3;0;0;7;3;2;4
6;07/06/2015;19:28;Goiás;Avaí;0;1;H. Pinto dos Anjos;G. Kleina;Estádio do Governo do Estado de Goiás (Serra Dourada);8;11;0;0;56%;44%;496;401;15;17;2;4;0;0;4;2;6;2
6;07/06/2015;19:30;Fluminense;Sport Recife;0;0;E. Alves Moreira;E. Baptista;Maracanã;15;7;4;1;47%;53%;408;479;12;10;3;2;0;0;3;0;7;5
